Designator,Mid X,Mid Y,Rotation,Layer
C101,76.98,-40.38,270.0,top
C102,63.67,-40.5,270.0,top
D101,45.76,-49.43,180.0,top
J101,85.92,-59.11,0.0,top
J102,85.92,-79.47,180.0,top
J103,44.26,-77.69,180.0,top
J104,89.46,-59.12,0.0,top
J105,89.49,-79.5,180.0,top
J106,47.9,-77.65,180.0,top
J107,93.0,-59.11,0.0,top
J108,48.08,-59.15,0.0,top
J109,48.09,-68.31,0.0,top
J110,85.88,-69.33,0.0,top
J111,44.52,-59.12,0.0,top
J112,44.5,-68.28,0.0,top
J113,89.46,-69.34,0.0,top
J114,40.94,-59.17,0.0,top
J115,40.92,-68.27,0.0,top
J116,93.0,-69.33,0.0,top
J117,40.71,-77.69,180.0,top
J118,93.04,-79.5,180.0,top
J119,74.945,-68.67,0.0,top
J120,59.355,-68.96,0.0,top
L101,89.21,-46.1,0.0,top
U101,43.675,-39.335,180.0,top
